"metric","dataset","method","seed","value"
"Accuracy","Bird","BWA","42","75.9259"
"Accuracy","Bird","BWA","43","75.9259"
"Accuracy","Bird","BWA","44","75.9259"
"Accuracy","Bird","BWA","45","75.9259"
"Accuracy","Bird","BWA","46","75.9259"
"Accuracy","CF","BWA","42","89.3333"
"Accuracy","CF","BWA","43","89.3333"
"Accuracy","CF","BWA","44","89.3333"
"Accuracy","CF","BWA","45","89.3333"
"Accuracy","CF","BWA","46","89.3333"
"Accuracy","CF*","BWA","42","86.0"
"Accuracy","CF*","BWA","43","86.0"
"Accuracy","CF*","BWA","44","86.0"
"Accuracy","CF*","BWA","45","86.0"
"Accuracy","CF*","BWA","46","86.0"
"Accuracy","Face","BWA","42","61.8151"
"Accuracy","Face","BWA","43","61.8151"
"Accuracy","Face","BWA","44","61.8151"
"Accuracy","Face","BWA","45","61.8151"
"Accuracy","Face","BWA","46","61.8151"
"Accuracy","LabelMe","BWA","42","77.4"
"Accuracy","LabelMe","BWA","43","77.4"
"Accuracy","LabelMe","BWA","44","77.4"
"Accuracy","LabelMe","BWA","45","77.4"
"Accuracy","LabelMe","BWA","46","77.4"
"Accuracy","MS","BWA","42","78.5714"
"Accuracy","MS","BWA","43","78.5714"
"Accuracy","MS","BWA","44","78.5714"
"Accuracy","MS","BWA","45","78.5714"
"Accuracy","MS","BWA","46","78.5714"
"Accuracy","Possent","BWA","42","95.6"
"Accuracy","Possent","BWA","43","95.6"
"Accuracy","Possent","BWA","44","95.6"
"Accuracy","Possent","BWA","45","95.6"
"Accuracy","Possent","BWA","46","95.6"
"Accuracy","RTE","BWA","42","92.75"
"Accuracy","RTE","BWA","43","92.75"
"Accuracy","RTE","BWA","44","92.75"
"Accuracy","RTE","BWA","45","92.75"
"Accuracy","RTE","BWA","46","92.75"
"Accuracy","Temp","BWA","42","93.9394"
"Accuracy","Temp","BWA","43","93.9394"
"Accuracy","Temp","BWA","44","93.9394"
"Accuracy","Temp","BWA","45","93.9394"
"Accuracy","Temp","BWA","46","93.9394"
"Accuracy","Bird","CrowdFM","42","80.5556"
"Accuracy","Bird","CrowdFM","43","80.5556"
"Accuracy","Bird","CrowdFM","44","77.7778"
"Accuracy","Bird","CrowdFM","45","78.7037"
"Accuracy","Bird","CrowdFM","46","80.5556"
"Accuracy","CF","CrowdFM","42","87.6667"
"Accuracy","CF","CrowdFM","43","87.3333"
"Accuracy","CF","CrowdFM","44","88.0"
"Accuracy","CF","CrowdFM","45","89.0"
"Accuracy","CF","CrowdFM","46","88.3333"
"Accuracy","CF*","CrowdFM","42","85.0"
"Accuracy","CF*","CrowdFM","43","86.6667"
"Accuracy","CF*","CrowdFM","44","86.0"
"Accuracy","CF*","CrowdFM","45","85.6667"
