analysis,metric,method,average_rank,mean_across_blocks,sd_across_blocks
primary_8block,Accuracy,GCRN,1.875,85.4148860135932,10.198422969701182
primary_8block,Accuracy,GOVERN,4.125,84.46430301406927,10.335920769859179
primary_8block,Accuracy,EBCC,4.25,84.69111,11.035580062258362
primary_8block,Accuracy,DS,4.4375,84.1935,10.79409945095666
primary_8block,Accuracy,CrowdFM,4.8125,83.55803374999999,10.48123961617809
primary_8block,Accuracy,BWA,5.75,82.95855625,11.619394074976464
primary_8block,Accuracy,PM,6.0625,82.5411225,12.117012286634438
primary_8block,Accuracy,GLAD,6.8125,82.92004374999999,11.02783068595858
primary_8block,Accuracy,MV,8.3125,81.31304,11.141220634885567
primary_8block,Accuracy,TiReMGE,8.5625,78.89237374999999,14.618885417542158
primary_8block,Macro-F1,GCRN,3.0,83.22190161279177,11.360643553031608
primary_8block,Macro-F1,EBCC,4.25,82.57692,12.271773385228396
primary_8block,Macro-F1,DS,4.375,82.60483125,11.919182315103232
primary_8block,Macro-F1,GOVERN,4.375,82.42187143222498,11.200861233663291
primary_8block,Macro-F1,CrowdFM,5.0,81.54474,11.332167735796562
primary_8block,Macro-F1,PM,5.875,80.6586125,12.734828147191742
primary_8block,Macro-F1,BWA,5.9375,80.704025,12.51338713147415
primary_8block,Macro-F1,GLAD,6.375,80.88204375000001,11.838206514907494
primary_8block,Macro-F1,MV,7.625,79.44001750000001,11.530139625522757
primary_8block,Macro-F1,TiReMGE,8.1875,74.454665,19.66237711426353
primary_8block,Weighted-F1,GCRN,2.0,85.07938681319035,10.50533920230205
primary_8block,Weighted-F1,EBCC,4.25,84.25899125000001,11.623971636141087
primary_8block,Weighted-F1,DS,4.375,84.04705,11.185405541916792
primary_8block,Weighted-F1,GOVERN,4.375,84.08892900821013,10.695693678114829
primary_8block,Weighted-F1,CrowdFM,4.875,83.19348875,11.009478712246665
primary_8block,Weighted-F1,BWA,5.5625,82.39264375,12.339937199117733
primary_8block,Weighted-F1,PM,6.0,82.15646749999999,12.690017127634222
primary_8block,Weighted-F1,GLAD,6.75,82.39140625,11.688220831138302
primary_8block,Weighted-F1,MV,8.375,80.86926875,11.642183939479295
primary_8block,Weighted-F1,TiReMGE,8.4375,76.52316125000002,18.9230166712366
