metric,dataset,method,seed,value
Accuracy,CF/CF* composite,BWA,42,87.66665
Accuracy,CF/CF* composite,BWA,43,87.66665
Accuracy,CF/CF* composite,BWA,44,87.66665
Accuracy,CF/CF* composite,BWA,45,87.66665
Accuracy,CF/CF* composite,BWA,46,87.66665
Accuracy,CF/CF* composite,CrowdFM,42,86.33335
Accuracy,CF/CF* composite,CrowdFM,43,87.0
Accuracy,CF/CF* composite,CrowdFM,44,87.0
Accuracy,CF/CF* composite,CrowdFM,45,87.33335
Accuracy,CF/CF* composite,CrowdFM,46,87.16665
Accuracy,CF/CF* composite,DS,42,82.6667
Accuracy,CF/CF* composite,DS,43,82.6667
Accuracy,CF/CF* composite,DS,44,82.6667
Accuracy,CF/CF* composite,DS,45,82.6667
Accuracy,CF/CF* composite,DS,46,82.6667
Accuracy,CF/CF* composite,EBCC,42,86.83335
Accuracy,CF/CF* composite,EBCC,43,86.66665
Accuracy,CF/CF* composite,EBCC,44,87.0
Accuracy,CF/CF* composite,EBCC,45,87.0
Accuracy,CF/CF* composite,EBCC,46,86.5
Accuracy,CF/CF* composite,GCRN,42,88.0
Accuracy,CF/CF* composite,GCRN,43,88.16666666666666
Accuracy,CF/CF* composite,GCRN,44,87.8333333333333
Accuracy,CF/CF* composite,GCRN,45,87.8333333333333
Accuracy,CF/CF* composite,GCRN,46,88.16666666666666
Accuracy,CF/CF* composite,GLAD,42,86.83335
Accuracy,CF/CF* composite,GLAD,43,86.83335
Accuracy,CF/CF* composite,GLAD,44,86.83335
Accuracy,CF/CF* composite,GLAD,45,86.83335
Accuracy,CF/CF* composite,GLAD,46,86.83335
Accuracy,CF/CF* composite,GOVERN,42,87.66665
Accuracy,CF/CF* composite,GOVERN,43,87.33335
Accuracy,CF/CF* composite,GOVERN,44,87.0
Accuracy,CF/CF* composite,GOVERN,45,87.5
Accuracy,CF/CF* composite,GOVERN,46,88.16665
Accuracy,CF/CF* composite,MV,42,86.6667
Accuracy,CF/CF* composite,MV,43,87.33335
Accuracy,CF/CF* composite,MV,44,87.1667
Accuracy,CF/CF* composite,MV,45,86.8333
Accuracy,CF/CF* composite,MV,46,86.33335
Accuracy,CF/CF* composite,PM,42,87.0
Accuracy,CF/CF* composite,PM,43,87.33335
Accuracy,CF/CF* composite,PM,44,87.33335
Accuracy,CF/CF* composite,PM,45,86.6667
Accuracy,CF/CF* composite,PM,46,87.1667
Accuracy,CF/CF* composite,TiReMGE,42,86.33335
Accuracy,CF/CF* composite,TiReMGE,43,86.33335
Accuracy,CF/CF* composite,TiReMGE,44,86.33335
Accuracy,CF/CF* composite,TiReMGE,45,86.1667
Accuracy,CF/CF* composite,TiReMGE,46,86.0
Macro-F1,CF/CF* composite,BWA,42,74.5579
Macro-F1,CF/CF* composite,BWA,43,74.5579
Macro-F1,CF/CF* composite,BWA,44,74.5579
Macro-F1,CF/CF* composite,BWA,45,74.5579
Macro-F1,CF/CF* composite,BWA,46,74.5579
Macro-F1,CF/CF* composite,CrowdFM,42,73.041
Macro-F1,CF/CF* composite,CrowdFM,43,76.12729999999999
Macro-F1,CF/CF* composite,CrowdFM,44,72.8824
Macro-F1,CF/CF* composite,CrowdFM,45,74.53805
Macro-F1,CF/CF* composite,CrowdFM,46,74.72705
Macro-F1,CF/CF* composite,DS,42,72.27575
Macro-F1,CF/CF* composite,DS,43,72.27575
Macro-F1,CF/CF* composite,DS,44,72.27575
Macro-F1,CF/CF* composite,DS,45,72.27575
Macro-F1,CF/CF* composite,DS,46,72.27575
Macro-F1,CF/CF* composite,EBCC,42,73.3449
Macro-F1,CF/CF* composite,EBCC,43,73.1457
Macro-F1,CF/CF* composite,EBCC,44,70.43385
Macro-F1,CF/CF* composite,EBCC,45,72.3357
Macro-F1,CF/CF* composite,EBCC,46,73.00715
Macro-F1,CF/CF* composite,GCRN,42,71.28131913702114
Macro-F1,CF/CF* composite,GCRN,43,71.29118441053944
Macro-F1,CF/CF* composite,GCRN,44,75.72709334989295
Macro-F1,CF/CF* composite,GCRN,45,71.22831334858691
Macro-F1,CF/CF* composite,GCRN,46,71.37315196353416
Macro-F1,CF/CF* composite,GLAD,42,75.51474999999999
Macro-F1,CF/CF* composite,GLAD,43,75.51474999999999
Macro-F1,CF/CF* composite,GLAD,44,75.51474999999999
Macro-F1,CF/CF* composite,GLAD,45,75.51474999999999
Macro-F1,CF/CF* composite,GLAD,46,75.51474999999999
Macro-F1,CF/CF* composite,GOVERN,42,75.285
Macro-F1,CF/CF* composite,GOVERN,43,70.68755
Macro-F1,CF/CF* composite,GOVERN,44,70.4136
Macro-F1,CF/CF* composite,GOVERN,45,75.4998
Macro-F1,CF/CF* composite,GOVERN,46,75.82515000000001
Macro-F1,CF/CF* composite,MV,42,75.25865
Macro-F1,CF/CF* composite,MV,43,76.56729999999999
Macro-F1,CF/CF* composite,MV,44,75.9457
Macro-F1,CF/CF* composite,MV,45,76.18674999999999
Macro-F1,CF/CF* composite,MV,46,75.8988
Macro-F1,CF/CF* composite,PM,42,75.66005000000001
Macro-F1,CF/CF* composite,PM,43,76.05455
Macro-F1,CF/CF* composite,PM,44,76.0621
Macro-F1,CF/CF* composite,PM,45,75.2935
Macro-F1,CF/CF* composite,PM,46,75.87280000000001
Macro-F1,CF/CF* composite,TiReMGE,42,73.2153
Macro-F1,CF/CF* composite,TiReMGE,43,73.1181
Macro-F1,CF/CF* composite,TiReMGE,44,73.1181
Macro-F1,CF/CF* composite,TiReMGE,45,73.05930000000001
Macro-F1,CF/CF* composite,TiReMGE,46,72.14959999999999
Weighted-F1,CF/CF* composite,BWA,42,87.02595
Weighted-F1,CF/CF* composite,BWA,43,87.02595
Weighted-F1,CF/CF* composite,BWA,44,87.02595
Weighted-F1,CF/CF* composite,BWA,45,87.02595
Weighted-F1,CF/CF* composite,BWA,46,87.02595
Weighted-F1,CF/CF* composite,CrowdFM,42,86.13589999999999
Weighted-F1,CF/CF* composite,CrowdFM,43,86.8442
Weighted-F1,CF/CF* composite,CrowdFM,44,86.526
Weighted-F1,CF/CF* composite,CrowdFM,45,86.8939
Weighted-F1,CF/CF* composite,CrowdFM,46,87.00524999999999
Weighted-F1,CF/CF* composite,DS,42,83.4593
Weighted-F1,CF/CF* composite,DS,43,83.4593
Weighted-F1,CF/CF* composite,DS,44,83.4593
Weighted-F1,CF/CF* composite,DS,45,83.4593
Weighted-F1,CF/CF* composite,DS,46,83.4593
Weighted-F1,CF/CF* composite,EBCC,42,85.97290000000001
Weighted-F1,CF/CF* composite,EBCC,43,85.7895
Weighted-F1,CF/CF* composite,EBCC,44,85.73840000000001
Weighted-F1,CF/CF* composite,EBCC,45,85.94355
Weighted-F1,CF/CF* composite,EBCC,46,85.63159999999999
Weighted-F1,CF/CF* composite,GCRN,42,86.79111531295325
Weighted-F1,CF/CF* composite,GCRN,43,86.9121993303668
Weighted-F1,CF/CF* composite,GCRN,44,87.24474199194455
Weighted-F1,CF/CF* composite,GCRN,45,86.71457759960145
Weighted-F1,CF/CF* composite,GCRN,46,86.95180475785489
Weighted-F1,CF/CF* composite,GLAD,42,86.48505
Weighted-F1,CF/CF* composite,GLAD,43,86.48505
Weighted-F1,CF/CF* composite,GLAD,44,86.48505
Weighted-F1,CF/CF* composite,GLAD,45,86.48505
Weighted-F1,CF/CF* composite,GLAD,46,86.48505
Weighted-F1,CF/CF* composite,GOVERN,42,87.1003
Weighted-F1,CF/CF* composite,GOVERN,43,86.14165
Weighted-F1,CF/CF* composite,GOVERN,44,85.76485
Weighted-F1,CF/CF* composite,GOVERN,45,86.89215
Weighted-F1,CF/CF* composite,GOVERN,46,87.37785
Weighted-F1,CF/CF* composite,MV,42,86.35385
Weighted-F1,CF/CF* composite,MV,43,87.05675
Weighted-F1,CF/CF* composite,MV,44,86.76015
Weighted-F1,CF/CF* composite,MV,45,86.54685
Weighted-F1,CF/CF* composite,MV,46,86.02615
Weighted-F1,CF/CF* composite,PM,42,86.66865
Weighted-F1,CF/CF* composite,PM,43,87.02799999999999
Weighted-F1,CF/CF* composite,PM,44,87.02905
Weighted-F1,CF/CF* composite,PM,45,86.44345
Weighted-F1,CF/CF* composite,PM,46,86.84434999999999
Weighted-F1,CF/CF* composite,TiReMGE,42,85.6806
Weighted-F1,CF/CF* composite,TiReMGE,43,85.73005
Weighted-F1,CF/CF* composite,TiReMGE,44,85.73005
Weighted-F1,CF/CF* composite,TiReMGE,45,85.5052
Weighted-F1,CF/CF* composite,TiReMGE,46,85.26435000000001
