Dataset_or_derived_block,MV,PM,GLAD,DS,EBCC,BWA,TiReMGE,GOVERN,CrowdFM,GCRN
Temp,93.23024000000001,94.21354,93.1863,94.0894,94.0837,93.8616,93.8616,94.04191145779974,94.13347999999999,94.44466083149186
RTE,90.07714000000001,92.12496,92.497,92.7471,92.87264,92.7498,90.7783,92.9748,91.51554,93.17382391331644
Face,61.6245,57.78580000000001,61.01030000000001,62.6331,60.66086,59.4687,61.11838,64.76874000000001,62.35466,65.88116478903626
LabelMe,75.86890000000001,73.39534,76.6875,78.8088,78.1765,76.8413,76.07664,77.3381,76.54022,78.02820652152789
MS,71.29084,79.87483999999999,78.866,76.6519,79.12465999999999,78.9767,71.45204,76.65394,80.18546,77.47517831494137
CF*,72.8934,73.41260000000001,73.0482,73.042,69.62884,69.7518,68.64896,68.98534,71.0946,70.0881620044771
Bird,74.1912,77.0489,74.1355,87.6571,87.25894000000001,73.609,35.7143,84.25982,78.31424,88.34875533196194
Possent,93.26588,95.03692,95.159,95.9755,95.9846,95.5672,93.70398,95.79544,95.05116000000001,96.24321075814343
CF,79.04947999999999,78.1646,77.9813,71.5095,75.27808,79.364,77.21520000000001,78.09909999999999,77.43172,74.27226287935274
CF/CF* composite,75.97144,75.7886,75.51474999999999,72.27575,72.45345999999999,74.5579,72.93208,73.54222,74.26316,72.18021244191492
