analysis,metric,method_a,method_b,rank_a,rank_b,absolute_rank_difference,nemenyi_q,nemenyi_p,critical_difference,reject_nemenyi
primary_8block,Accuracy,GCRN,TiReMGE,1.875,8.5625,6.6875,4.417617107569522,0.00042392587348427657,4.789263851159032,True
primary_8block,Accuracy,GCRN,MV,1.875,8.3125,6.4375,4.252472542800568,0.0008829661099101216,4.789263851159032,True
primary_8block,Accuracy,GCRN,GLAD,1.875,6.8125,4.9375,3.261605154186843,0.03697589089088926,4.789263851159032,True
primary_8block,Accuracy,GOVERN,TiReMGE,4.125,8.5625,4.4375,2.931316024648935,0.09698784136636396,4.789263851159032,False
primary_8block,Accuracy,EBCC,TiReMGE,4.25,8.5625,4.3125,2.848743742264458,0.12045319980042757,4.789263851159032,False
primary_8block,Accuracy,GCRN,PM,1.875,6.0625,4.1875,2.766171459879981,0.14808156104074854,4.789263851159032,False
primary_8block,Accuracy,GOVERN,MV,4.125,8.3125,4.1875,2.766171459879981,0.14808156104074854,4.789263851159032,False
primary_8block,Accuracy,DS,TiReMGE,4.4375,8.5625,4.125,2.7248853186877424,0.16355241444362945,4.789263851159032,False
primary_8block,Accuracy,EBCC,MV,4.25,8.3125,4.0625,2.683599177495504,0.18016660743737434,4.789263851159032,False
primary_8block,Accuracy,GCRN,BWA,1.875,5.75,3.875,2.5597407539187884,0.2370194964548774,4.789263851159032,False
primary_8block,Accuracy,DS,MV,4.4375,8.3125,3.875,2.5597407539187884,0.2370194964548774,4.789263851159032,False
primary_8block,Accuracy,CrowdFM,TiReMGE,4.8125,8.5625,3.75,2.4771684715343114,0.28073699387680007,4.789263851159032,False
primary_8block,Accuracy,CrowdFM,MV,4.8125,8.3125,3.5,2.3120239067653574,0.380936840164364,4.789263851159032,False
primary_8block,Accuracy,GCRN,CrowdFM,1.875,4.8125,2.9375,1.9404486360352105,0.6411219980557461,4.789263851159032,False
primary_8block,Accuracy,BWA,TiReMGE,5.75,8.5625,2.8125,1.8578763536507334,0.6976986090608895,4.789263851159032,False
primary_8block,Accuracy,GOVERN,GLAD,4.125,6.8125,2.6875,1.7753040712662564,0.7510318499720479,4.789263851159032,False
primary_8block,Accuracy,GCRN,DS,1.875,4.4375,2.5625,1.6927317888817794,0.7999839892749676,4.789263851159032,False
primary_8block,Accuracy,EBCC,GLAD,4.25,6.8125,2.5625,1.6927317888817794,0.7999839892749676,4.789263851159032,False
primary_8block,Accuracy,BWA,MV,5.75,8.3125,2.5625,1.6927317888817794,0.7999839892749676,4.789263851159032,False
primary_8block,Accuracy,PM,TiReMGE,6.0625,8.5625,2.5,1.651445647689541,0.8225224708956799,4.789263851159032,False
primary_8block,Accuracy,GCRN,EBCC,1.875,4.25,2.375,1.568873365305064,0.8632921089257187,4.789263851159032,False
primary_8block,Accuracy,DS,GLAD,4.4375,6.8125,2.375,1.568873365305064,0.8632921089257187,4.789263851159032,False
primary_8block,Accuracy,GCRN,GOVERN,1.875,4.125,2.25,1.4863010829205867,0.8979835078952878,4.789263851159032,False
primary_8block,Accuracy,PM,MV,6.0625,8.3125,2.25,1.4863010829205867,0.8979835078952878,4.789263851159032,False
primary_8block,Accuracy,CrowdFM,GLAD,4.8125,6.8125,2.0,1.3211565181516327,0.9490667836108557,4.789263851159032,False
primary_8block,Accuracy,GOVERN,PM,4.125,6.0625,1.9375,1.2798703769593942,0.9582746400233831,4.789263851159032,False
primary_8block,Accuracy,EBCC,PM,4.25,6.0625,1.8125,1.1972980945749172,0.972965782090093,4.789263851159032,False
primary_8block,Accuracy,GLAD,TiReMGE,6.8125,8.5625,1.75,1.1560119533826787,0.9786499746970924,4.789263851159032,False
primary_8block,Accuracy,GOVERN,BWA,4.125,5.75,1.625,1.0734396709982015,0.9872353543783221,4.789263851159032,False
primary_8block,Accuracy,DS,PM,4.4375,6.0625,1.625,1.0734396709982015,0.9872353543783221,4.789263851159032,False
primary_8block,Accuracy,EBCC,BWA,4.25,5.75,1.5,0.9908673886137245,0.9928344010849488,4.789263851159032,False
primary_8block,Accuracy,GLAD,MV,6.8125,8.3125,1.5,0.9908673886137245,0.9928344010849488,4.789263851159032,False
primary_8block,Accuracy,DS,BWA,4.4375,5.75,1.3125,0.867008965037009,0.9973800255911522,4.789263851159032,False
primary_8block,Accuracy,CrowdFM,PM,4.8125,6.0625,1.25,0.8257228238447705,0.9982066768140755,4.789263851159032,False
primary_8block,Accuracy,BWA,GLAD,5.75,6.8125,1.0625,0.7018644002680549,0.9995106681432434,4.789263851159032,False
primary_8block,Accuracy,CrowdFM,BWA,4.8125,5.75,0.9375,0.6192921178835779,0.9998254873687978,4.789263851159032,False
primary_8block,Accuracy,PM,GLAD,6.0625,6.8125,0.75,0.49543369430686224,0.9999735446710152,4.789263851159032,False
primary_8block,Accuracy,GOVERN,CrowdFM,4.125,4.8125,0.6875,0.45414755311462374,0.9999874825068261,4.789263851159032,False
primary_8block,Accuracy,EBCC,CrowdFM,4.25,4.8125,0.5625,0.3715752707301467,0.9999978146520085,4.789263851159032,False
primary_8block,Accuracy,DS,CrowdFM,4.4375,4.8125,0.375,0.24771684715343112,0.9999999391181319,4.789263851159032,False
primary_8block,Accuracy,GOVERN,DS,4.125,4.4375,0.3125,0.20643070596119262,0.9999999880005612,4.789263851159032,False
primary_8block,Accuracy,BWA,PM,5.75,6.0625,0.3125,0.20643070596119262,0.9999999880005612,4.789263851159032,False
primary_8block,Accuracy,MV,TiReMGE,8.3125,8.5625,0.25,0.1651445647689541,0.9999999983671227,4.789263851159032,False
primary_8block,Accuracy,EBCC,DS,4.25,4.4375,0.1875,0.12385842357671556,0.9999999998760759,4.789263851159032,False
primary_8block,Accuracy,GOVERN,EBCC,4.125,4.25,0.125,0.08257228238447704,0.9999999999967516,4.789263851159032,False
primary_8block,Macro-F1,GCRN,TiReMGE,3.0,8.1875,5.1875,3.426749718955797,0.021590842659309106,4.789263851159032,True
primary_8block,Macro-F1,GCRN,MV,3.0,7.625,4.625,3.0551744482256504,0.06878272015379616,4.789263851159032,False
primary_8block,Macro-F1,EBCC,TiReMGE,4.25,8.1875,3.9375,2.6010268951110267,0.21689456848140498,4.789263851159032,False
primary_8block,Macro-F1,DS,TiReMGE,4.375,8.1875,3.8125,2.5184546127265497,0.2583079058008473,4.789263851159032,False
primary_8block,Macro-F1,GOVERN,TiReMGE,4.375,8.1875,3.8125,2.5184546127265497,0.2583079058008473,4.789263851159032,False
primary_8block,Macro-F1,GCRN,GLAD,3.0,6.375,3.375,2.2294516243808804,0.43628564581630647,4.789263851159032,False
primary_8block,Macro-F1,EBCC,MV,4.25,7.625,3.375,2.2294516243808804,0.43628564581630647,4.789263851159032,False
primary_8block,Macro-F1,DS,MV,4.375,7.625,3.25,2.146879341996403,0.49400447843187145,4.789263851159032,False
primary_8block,Macro-F1,GOVERN,MV,4.375,7.625,3.25,2.146879341996403,0.49400447843187145,4.789263851159032,False
primary_8block,Macro-F1,CrowdFM,TiReMGE,5.0,8.1875,3.1875,2.1055932008041647,0.5234161347222003,4.789263851159032,False
primary_8block,Macro-F1,GCRN,BWA,3.0,5.9375,2.9375,1.9404486360352105,0.6411219980557461,4.789263851159032,False
primary_8block,Macro-F1,GCRN,PM,3.0,5.875,2.875,1.899162494842972,0.6697379099162699,4.789263851159032,False
