analysis,metric,method,average_rank,mean_across_blocks,sd_across_blocks
sensitivity_9block,Accuracy,GCRN,1.8888888888888888,85.70212090097174,9.611939820351498
sensitivity_9block,Accuracy,EBCC,4.277777777777778,84.92543111111111,10.357265705788913
sensitivity_9block,Accuracy,GOVERN,4.444444444444445,84.80530601250602,9.796117102975865
sensitivity_9block,Accuracy,DS,4.611111111111111,84.02385555555556,10.220446331999291
sensitivity_9block,Accuracy,CrowdFM,4.777777777777778,83.93677111111111,9.885231828521325
sensitivity_9block,Accuracy,BWA,5.444444444444445,83.48167777777778,11.013235881744492
sensitivity_9block,Accuracy,PM,6.055555555555555,83.04766666666666,11.45827748402001
sensitivity_9block,Accuracy,GLAD,6.722222222222222,83.35485555555556,10.414088450041023
sensitivity_9block,Accuracy,MV,8.166666666666666,81.9301111111111,10.607918664201335
sensitivity_9block,Accuracy,TiReMGE,8.61111111111111,79.70803777777778,13.915909832739805
sensitivity_9block,Macro-F1,GCRN,3.2222222222222223,81.99504726047212,11.294773453730967
sensitivity_9block,Macro-F1,DS,4.333333333333333,81.45715555555556,11.67517725519736
sensitivity_9block,Macro-F1,EBCC,4.666666666666667,81.45209111111113,12.047972819761469
sensitivity_9block,Macro-F1,GOVERN,4.666666666666667,81.4352434953111,11.123357489332935
sensitivity_9block,Macro-F1,CrowdFM,5.111111111111111,80.73567555555557,10.98940321350426
sensitivity_9block,Macro-F1,PM,5.444444444444445,80.1175,12.080994809414493
sensitivity_9block,Macro-F1,BWA,5.722222222222222,80.02112222222223,12.123679534363502
sensitivity_9block,Macro-F1,GLAD,6.111111111111111,80.28567777777778,11.284816364675343
sensitivity_9block,Macro-F1,MV,7.333333333333333,79.05462000000001,10.955887388454668
sensitivity_9block,Macro-F1,TiReMGE,8.38888888888889,74.28548888888889,18.523682242019564
sensitivity_9block,Weighted-F1,GCRN,2.111111111111111,85.28422025600743,9.880041807703607
sensitivity_9block,Weighted-F1,DS,4.222222222222222,83.98174444444446,10.493127578338013
sensitivity_9block,Weighted-F1,GOVERN,4.444444444444445,84.37408800729789,10.131388200019973
sensitivity_9block,Weighted-F1,EBCC,4.777777777777778,84.43190222222223,10.900375314297415
sensitivity_9block,Weighted-F1,CrowdFM,4.888888888888889,83.58099555555555,10.4003224402601
sensitivity_9block,Weighted-F1,BWA,5.722222222222222,82.90745555555557,11.698618470797213
sensitivity_9block,Weighted-F1,PM,5.888888888888889,82.67271555555557,12.0077905734393
sensitivity_9block,Weighted-F1,GLAD,6.222222222222222,82.84625555555554,11.04315062970155
sensitivity_9block,Weighted-F1,MV,8.222222222222221,81.50032222222222,11.088563161566265
sensitivity_9block,Weighted-F1,TiReMGE,8.5,77.52970444444446,17.98937836193841
