analysis,metric,method_a,method_b,rank_a,rank_b,absolute_rank_difference,nemenyi_q,nemenyi_p,critical_difference,reject_nemenyi
sensitivity_9block,Accuracy,GCRN,TiReMGE,1.8888888888888888,8.61111111111111,6.722222222222221,4.709918612177213,0.00010760574794599354,4.51536126139487,True
sensitivity_9block,Accuracy,GCRN,MV,1.8888888888888888,8.166666666666666,6.277777777777777,4.398519034512604,0.00046217318358110493,4.51536126139487,True
sensitivity_9block,Accuracy,GCRN,GLAD,1.8888888888888888,6.722222222222222,4.833333333333334,3.386470407102625,0.02469983567784373,4.51536126139487,True
sensitivity_9block,Accuracy,EBCC,TiReMGE,4.277777777777778,8.61111111111111,4.333333333333333,3.036145882229939,0.07261527403118118,4.51536126139487,False
sensitivity_9block,Accuracy,GCRN,PM,1.8888888888888888,6.055555555555555,4.166666666666666,2.9193710406057103,0.10013823026837598,4.51536126139487,False
sensitivity_9block,Accuracy,GOVERN,TiReMGE,4.444444444444445,8.61111111111111,4.166666666666666,2.9193710406057103,0.10013823026837598,4.51536126139487,False
sensitivity_9block,Accuracy,DS,TiReMGE,4.611111111111111,8.61111111111111,4.0,2.8025961989814823,0.13535994274739582,4.51536126139487,False
sensitivity_9block,Accuracy,EBCC,MV,4.277777777777778,8.166666666666666,3.8888888888888884,2.72474630456533,0.1636064241822094,4.51536126139487,False
sensitivity_9block,Accuracy,CrowdFM,TiReMGE,4.777777777777778,8.61111111111111,3.833333333333333,2.685821357357254,0.17924289239568658,4.51536126139487,False
sensitivity_9block,Accuracy,GOVERN,MV,4.444444444444445,8.166666666666666,3.7222222222222214,2.607971462941101,0.21362467794169104,4.51536126139487,False
sensitivity_9block,Accuracy,GCRN,BWA,1.8888888888888888,5.444444444444445,3.555555555555556,2.4911966213168735,0.27299006784285085,4.51536126139487,False
sensitivity_9block,Accuracy,DS,MV,4.611111111111111,8.166666666666666,3.5555555555555554,2.491196621316873,0.2729900678428513,4.51536126139487,False
sensitivity_9block,Accuracy,CrowdFM,MV,4.777777777777778,8.166666666666666,3.3888888888888884,2.3744217796926446,0.341241221113743,4.51536126139487,False
