metric,method,average_rank_8block,average_rank_9block,rank_delta_8_minus_9
Accuracy,GCRN,1.875,1.8888888888888888,-0.01388888888888884
Accuracy,GOVERN,4.125,4.444444444444445,-0.31944444444444464
Accuracy,EBCC,4.25,4.277777777777778,-0.02777777777777768
Accuracy,DS,4.4375,4.611111111111111,-0.17361111111111072
Accuracy,CrowdFM,4.8125,4.777777777777778,0.03472222222222232
Accuracy,BWA,5.75,5.444444444444445,0.30555555555555536
Accuracy,PM,6.0625,6.055555555555555,0.006944444444444642
Accuracy,GLAD,6.8125,6.722222222222222,0.09027777777777768
Accuracy,MV,8.3125,8.166666666666666,0.14583333333333393
Accuracy,TiReMGE,8.5625,8.61111111111111,-0.048611111111110716
Macro-F1,GCRN,3.0,3.2222222222222223,-0.22222222222222232
Macro-F1,EBCC,4.25,4.666666666666667,-0.41666666666666696
Macro-F1,DS,4.375,4.333333333333333,0.04166666666666696
Macro-F1,GOVERN,4.375,4.666666666666667,-0.29166666666666696
Macro-F1,CrowdFM,5.0,5.111111111111111,-0.11111111111111072
Macro-F1,PM,5.875,5.444444444444445,0.43055555555555536
Macro-F1,BWA,5.9375,5.722222222222222,0.21527777777777768
Macro-F1,GLAD,6.375,6.111111111111111,0.2638888888888893
Macro-F1,MV,7.625,7.333333333333333,0.29166666666666696
Macro-F1,TiReMGE,8.1875,8.38888888888889,-0.20138888888888928
Weighted-F1,GCRN,2.0,2.111111111111111,-0.11111111111111116
Weighted-F1,EBCC,4.25,4.777777777777778,-0.5277777777777777
Weighted-F1,DS,4.375,4.222222222222222,0.15277777777777768
Weighted-F1,GOVERN,4.375,4.444444444444445,-0.06944444444444464
Weighted-F1,CrowdFM,4.875,4.888888888888889,-0.013888888888889284
Weighted-F1,BWA,5.5625,5.722222222222222,-0.15972222222222232
Weighted-F1,PM,6.0,5.888888888888889,0.11111111111111072
Weighted-F1,GLAD,6.75,6.222222222222222,0.5277777777777777
Weighted-F1,MV,8.375,8.222222222222221,0.15277777777777857
Weighted-F1,TiReMGE,8.4375,8.5,-0.0625
