metric,comparator,raw_p_8block,holm_adjusted_p_8block,reject_holm_8block,raw_p_9block,holm_adjusted_p_9block,reject_holm_9block
Accuracy,MV,0.0078125,0.0703125,False,0.00390625,0.03515625,True
Accuracy,PM,0.078125,0.46875,False,0.0546875,0.2734375,False
Accuracy,GLAD,0.078125,0.46875,False,0.0390625,0.234375,False
Accuracy,DS,0.109375,0.46875,False,0.07421875,0.296875,False
Accuracy,EBCC,0.1953125,0.46875,False,0.09765625,0.296875,False
Accuracy,BWA,0.109375,0.46875,False,0.07421875,0.296875,False
Accuracy,TiReMGE,0.0078125,0.0703125,False,0.00390625,0.03515625,True
Accuracy,GOVERN,0.0078125,0.0703125,False,0.01171875,0.08203125,False
Accuracy,CrowdFM,0.109375,0.46875,False,0.07421875,0.296875,False
Macro-F1,MV,0.078125,0.625,False,0.1640625,1.0,False
Macro-F1,PM,0.25,1.0,False,0.42578125,1.0,False
Macro-F1,GLAD,0.3828125,1.0,False,0.65234375,1.0,False
Macro-F1,DS,0.1484375,1.0,False,0.30078125,1.0,False
Macro-F1,EBCC,0.3828125,1.0,False,0.42578125,1.0,False
Macro-F1,BWA,0.3828125,1.0,False,0.30078125,1.0,False
Macro-F1,TiReMGE,0.0234375,0.2109375,False,0.0546875,0.4921875,False
Macro-F1,GOVERN,0.1484375,1.0,False,0.09765625,0.78125,False
Macro-F1,CrowdFM,0.3828125,1.0,False,0.42578125,1.0,False
Weighted-F1,MV,0.0078125,0.0703125,False,0.00390625,0.03515625,True
Weighted-F1,PM,0.078125,0.46875,False,0.07421875,0.4453125,False
Weighted-F1,GLAD,0.109375,0.546875,False,0.07421875,0.4453125,False
Weighted-F1,DS,0.109375,0.546875,False,0.07421875,0.4453125,False
Weighted-F1,EBCC,0.1953125,0.546875,False,0.12890625,0.4453125,False
Weighted-F1,BWA,0.1484375,0.546875,False,0.25,0.4453125,False
Weighted-F1,TiReMGE,0.0078125,0.0703125,False,0.00390625,0.03515625,True
Weighted-F1,GOVERN,0.0078125,0.0703125,False,0.0390625,0.2734375,False
Weighted-F1,CrowdFM,0.109375,0.546875,False,0.07421875,0.4453125,False
