analysis,metric,control,comparator,n_blocks,mean_control,mean_comparator,mean_difference,median_difference,wins,ties,losses,w_plus,w_minus,wilcoxon_w,raw_p,rank_biserial,enumerations,hodges_lehmann,ci95_lower,ci95_upper,ci_coverage,hl_critical_rank,holm_adjusted_p,reject_holm,holm_family_size,correction_scope,ci_note
primary_8block,Accuracy,GCRN,MV,8,85.4148860135932,81.31304,4.101846013593201,3.0175000000000054,8,0,0,36.0,0.0,0.0,0.0078125,1.0,256,3.150781986301368,1.626659999999987,7.833809259259262,0.9609375,3,0.0703125,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Accuracy,GCRN,PM,8,85.4148860135932,82.5411225,2.8737635135931994,1.115000000000002,7,0,1,31.0,5.0,5.0,0.078125,0.7222222222222222,256,2.6822012720156376,-0.5607114285714374,7.260247945205457,0.9609375,3,0.46875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Accuracy,GCRN,GLAD,8,85.4148860135932,82.92004374999999,2.4948422635932017,1.189407251082244,7,0,1,31.0,5.0,5.0,0.078125,0.7222222222222222,256,1.2566624999999974,-0.030946428571446916,6.439391510341515,0.9609375,3,0.46875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Accuracy,GCRN,DS,8,85.4148860135932,84.1935,1.2213860135932002,0.49025925925926117,7,0,1,30.0,6.0,6.0,0.109375,0.6666666666666666,256,0.5785696969696943,-0.23750000000000426,2.9794479452054645,0.9609375,3,0.46875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Accuracy,GCRN,EBCC,8,85.4148860135932,84.69111,0.723776013593203,0.3231822510822582,6,0,2,28.0,8.0,8.0,0.1953125,0.5555555555555556,256,0.48147962962962865,-0.5785714285714363,2.330716223684991,0.9609375,3,0.46875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Accuracy,GCRN,BWA,8,85.4148860135932,82.95855625,2.4563297635931987,0.6113822510822615,7,0,1,30.0,6.0,6.0,0.109375,0.6666666666666666,256,0.7969411255411245,-0.3328891774891787,6.626309259259266,0.9609375,3,0.46875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Accuracy,GCRN,TiReMGE,8,85.4148860135932,78.89237374999999,6.5225122635932,2.447500000000005,8,0,0,36.0,0.0,0.0,0.0078125,1.0,256,3.0865539726027293,1.4688822510822561,17.741459259259262,0.9609375,3,0.0703125,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Accuracy,GCRN,GOVERN,8,85.4148860135932,84.46430301406927,0.9505829995239328,0.5333349999999797,8,0,0,36.0,0.0,0.0,0.0078125,1.0,256,0.6459764668208443,0.33333499999998395,2.151849259259258,0.9609375,3,0.0703125,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Accuracy,GCRN,CrowdFM,8,85.4148860135932,83.55803374999999,1.8568522635932005,1.2800000000000011,7,0,1,30.0,6.0,6.0,0.109375,0.6666666666666666,256,1.3608324999999901,-0.6385714285714315,5.134429259259257,0.9609375,3,0.46875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Macro-F1,GCRN,MV,8,83.22190161279177,79.44001750000001,3.7818841127917615,3.037007335729932,7,0,1,31.0,5.0,5.0,0.078125,0.7222222222222222,256,3.1523347842992493,-0.40694839997082255,8.627119622639185,0.9609375,3,0.625,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Macro-F1,GCRN,PM,8,83.22190161279177,80.6586125,2.5632891127917645,1.1275773357299386,6,0,2,27.0,9.0,9.0,0.25,0.5,256,2.33774114599273,-1.68863336329661,7.966360926744912,0.9609375,3,1.0,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Macro-F1,GCRN,GLAD,8,83.22190161279177,80.88204375000001,2.3398578627917646,1.171285794817642,6,0,2,25.0,11.0,11.0,0.3828125,0.3888888888888889,256,1.191872217326651,-1.3288568223843171,7.735808081726901,0.9609375,3,1.0,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Macro-F1,GCRN,DS,8,83.22190161279177,82.60483125,0.6170703627917646,0.3909923724041491,6,0,2,29.0,7.0,7.0,0.1484375,0.6111111111111112,256,0.4088581428602929,-0.21266632349012582,1.83739435117635,0.9609375,3,1.0,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Macro-F1,GCRN,EBCC,8,83.22190161279177,82.57692,0.6449816127917654,0.2798973357299346,5,0,3,25.0,11.0,11.0,0.3828125,0.3888888888888889,256,0.2905406245231852,-0.6954354634575921,2.760744351176349,0.9609375,3,1.0,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Macro-F1,GCRN,BWA,8,83.22190161279177,80.704025,2.517876612791767,0.6295357948176488,6,0,2,25.0,11.0,11.0,0.3828125,0.3888888888888889,256,0.8452244469660215,-0.9768318223843195,7.707883045052689,0.9609375,3,1.0,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Macro-F1,GCRN,TiReMGE,8,83.22190161279177,74.454665,8.767236612791766,2.4673773357299353,7,0,1,34.0,2.0,2.0,0.0234375,0.8888888888888888,256,2.988011191740341,0.5998494817214066,27.586843045052685,0.9609375,3,0.2109375,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Macro-F1,GCRN,GOVERN,8,83.22190161279177,82.42187143222498,0.8000301805667949,0.5689386398356646,7,0,1,29.0,7.0,7.0,0.1484375,0.6111111111111112,256,0.623249190429572,-0.45711839997082393,2.3895209267449147,0.9609375,3,1.0,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Macro-F1,GCRN,CrowdFM,8,83.22190161279177,81.54474,1.677161612791763,1.3400186398356553,6,0,2,25.0,11.0,11.0,0.3828125,0.3888888888888889,256,1.2660346989895395,-1.1995504267833823,5.761250926744914,0.9609375,3,1.0,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Weighted-F1,GCRN,MV,8,85.07938681319035,80.86926875,4.210118063190341,3.030597268152313,8,0,0,36.0,0.0,0.0,0.0078125,1.0,256,3.211163453111478,1.2339343934698945,8.33298085821908,0.9609375,3,0.0703125,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Weighted-F1,GCRN,PM,8,85.07938681319035,82.15646749999999,2.922919313190345,1.1216372681523197,7,0,1,31.0,5.0,5.0,0.078125,0.7222222222222222,256,2.5455510609395233,-0.7370979251068448,7.61315439575867,0.9609375,3,0.46875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Weighted-F1,GCRN,GLAD,8,85.07938681319035,82.39140625,2.6879805631903446,1.1490544883193294,7,0,1,30.0,6.0,6.0,0.109375,0.6666666666666666,256,1.1902145796711814,-0.1907545702709612,7.330988078386099,0.9609375,3,0.546875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Weighted-F1,GCRN,DS,8,85.07938681319035,84.04705,1.0323368131903443,0.5288008582190855,7,0,1,30.0,6.0,6.0,0.109375,0.6666666666666666,256,0.5887649390074436,-0.181162549143977,2.0650840175070257,0.9609375,3,0.546875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Weighted-F1,GCRN,EBCC,8,85.07938681319035,84.25899125000001,0.8203955631903437,0.3256911334834527,6,0,2,28.0,8.0,8.0,0.1953125,0.5555555555555556,256,0.5295793946142808,-0.693657925106848,2.785251571343366,0.9609375,3,0.546875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Weighted-F1,GCRN,BWA,8,85.07938681319035,82.39264375,2.6867430631903435,0.6181544883193268,6,0,2,29.0,7.0,7.0,0.1484375,0.6111111111111112,256,0.7646060609395242,-0.48371070493983837,7.347294213054965,0.9609375,3,0.546875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Weighted-F1,GCRN,TiReMGE,8,85.07938681319035,76.52316125000002,8.556225563190342,2.4611272681523175,8,0,0,36.0,0.0,0.0,0.0078125,1.0,256,3.341333591888045,1.3408377985441717,25.67405421305497,0.9609375,3,0.0703125,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Weighted-F1,GCRN,GOVERN,8,85.07938681319035,84.08892900821013,0.9904578049802115,0.6006808056919013,8,0,0,36.0,0.0,0.0,0.0078125,1.0,256,0.6455048904526883,0.29613510064292825,2.3404343957586704,0.9609375,3,0.0703125,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
primary_8block,Weighted-F1,GCRN,CrowdFM,8,85.07938681319035,83.19348875,1.8858980631903437,1.2741308056918967,7,0,1,30.0,6.0,6.0,0.109375,0.6666666666666666,256,1.3187208970437467,-0.8027045702709614,5.480734395758667,0.9609375,3,0.546875,False,9,"within metric, GCRN versus nine baselines",pointwise exact conservative paired Hodges-Lehmann CI
